School Name,Borough,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing)
Kingsborough Early College School,Brooklyn,474,462,449
Secondary School for Journalism,Brooklyn,408,435,415
Millennium Brooklyn High School,Brooklyn,553,551,539
Park Slope Collegiate,Brooklyn,405,377,395
Secondary School for Law,Brooklyn,420,424,414
Bedford Academy High School,Brooklyn,505,464,456
Khalil Gibran International Academy,Brooklyn,,,
Brooklyn High School of the Arts,Brooklyn,439,441,436
Brooklyn Technical High School,Brooklyn,682,608,606
Brooklyn College Academy,Brooklyn,502,495,493
High School of Telecommunication Arts and Technology,Brooklyn,475,440,445
EBC High School for Public Service in Bushwick,Brooklyn,389,374,378
Brooklyn High School for Law and Technology,Brooklyn,395,401,383
Brooklyn Academy of Global Finance,Brooklyn,395,382,391
Frederick Douglass Academy IV Secondary School,Brooklyn,,,
Bushwick Leaders High School for Academic Excellence,Brooklyn,393,368,382
Automotive High School,Brooklyn,367,381,328
Frances Perkins Academy,Brooklyn,399,413,400
John Dewey High School,Brooklyn,512,418,396
Rachel Carson High School for Coastal Studies,Brooklyn,436,430,421
Brooklyn School for Music and Theatre,Brooklyn,382,393,377
Brooklyn Academy of Science and the Environment,Brooklyn,419,411,416
Medgar Evers College Preparatory School,Brooklyn,525,500,481
Clara Barton High School,Brooklyn,408,424,407
International High School at Prospect Heights,Brooklyn,344,302,300
High School for Global Citizenship,Brooklyn,377,386,375
"Science, Technology, and Research Early College High School at Erasmus",Brooklyn,496,491,484
Academy for College Preparation and Career Exploration (College Board),Brooklyn,386,397,393
High School for Youth and Community Development at Erasmus,Brooklyn,360,382,359
High School for Service and Learning at Erasmus,Brooklyn,377,382,356
Academy of Hospitality and Tourism,Brooklyn,374,385,375
James Madison High School,Brooklyn,492,450,444
Edward R. Murrow High School,Brooklyn,500,479,472
Brooklyn Secondary School for Collaborative Studies,Brooklyn,401,411,404
Sunset Park High School,Brooklyn,398,380,381
Brooklyn Collegiate (College Board),Brooklyn,394,395,399
Gotham Professional Arts Academy,Brooklyn,377,396,386
Eagle Academy for Young Men II,Brooklyn,,,
Leon M. Goldstein High School for the Sciences,Brooklyn,563,534,543
Abraham Lincoln High School,Brooklyn,441,422,422
Origins High School,Brooklyn,,,
William E. Grady Career and Technical Education High School,Brooklyn,416,423,387
Urban Action Academy,Brooklyn,362,396,393
Brooklyn Generation School,Brooklyn,392,406,403
High School for Medical Professions,Brooklyn,404,427,424
High School for Innovation in Advertising and Media,Brooklyn,390,410,397
Victory Collegiate High School,Brooklyn,386,408,402
Brooklyn Theatre Arts High School,Brooklyn,379,393,373
Academy for Conservation and the Environment,Brooklyn,381,397,390
All City Leadership Secondary School,Brooklyn,467,446,448
Brooklyn School for Math and Research,Brooklyn,,,
Bushwick School for Social Justice,Brooklyn,365,357,357
Academy for Environmental Leadership,Brooklyn,365,366,348
Academy of Urban Planning,Brooklyn,392,374,379
ACORN Community High School,Brooklyn,379,395,385
Flushing High School,Queens,444,407,405
Queens High School for Language Studies,Queens,,,
Veritas Academy,Queens,,,
East-West School of International Studies,Queens,521,457,451
Flushing International High School,Queens,481,323,323
World Journalism Preparatory (College Board),Queens,484,491,487
Bayside High School,Queens,523,479,485
Benjamin N. Cardozo High School,Queens,563,505,510
Francis Lewis High School,Queens,562,483,485
Queens School of Inquiry,Queens,516,493,486
Robert F. Kennedy Community High School,Queens,460,426,423
John Bowne High School,Queens,467,422,425
Townsend Harris High School,Queens,680,640,661
High School for Arts and Business,Queens,413,405,393
Civic Leadership Academy,Queens,435,424,418
Maspeth High School,Queens,476,471,480
Pan American International High School,Queens,340,320,318
International High School for Health Sciences,Queens,,,
Newtown High School,Queens,434,401,389
Forest Hills High School,Queens,517,485,483
Metropolitan Expeditionary Learning School,Queens,,,
Queens Metropolitan High School,Queens,460,448,449
Grover Cleveland High School,Queens,452,422,416
Benjamin Franklin High School for Finance and Information Technology,Queens,,,
Humanities and Arts Magnet High School,Queens,384,409,401
Institute for Health Professions at Cambria Heights,Queens,,,
"Mathematics, Science Research, and Technology Magnet High School",Queens,380,418,388
Pathways College Preparatory School (College Board),Queens,405,427,409
Excelsior Preparatory High School,Queens,384,407,400
Preparatory Academy for Writers (College Board),Queens,398,410,393
Queens Preparatory Academy,Queens,423,422,403
George Washington Carver High School for the Sciences,Queens,439,428,419
"High School for Construction Trades, Engineering, and Architecture",Queens,489,457,451
John Adams High School,Queens,418,401,395
Robert H. Goddard High School of Communication Arts and Technology,Queens,426,435,424
Richmond Hill High School,Queens,413,406,399
Epic High School North,Queens,,,
Epic High School South,Queens,,,
Cambria Heights Academy,Queens,418,424,411
"Queens High School of Teaching, Liberal Arts, and the Sciences",Queens,453,434,439
Business Technology Early College High School,Queens,,,
Martin Van Buren High School,Queens,397,396,391
Queens Gateway to Health Sciences Secondary School,Queens,524,511,514
Jamaica Gateway to the Sciences,Queens,487,460,463
High School for Community Leadership,Queens,415,392,386
Young Women's Leadership School in Queens,Queens,415,420,433
Queens Collegiate (College Board),Queens,455,439,441
Hillcrest High School,Queens,448,432,426
Thomas A. Edison Career and Technical Education High School,Queens,514,473,470
Hillside Arts and Letters Academy,Queens,409,399,404
York Early College Academy,Queens,496,481,473
Queens High School for the Sciences at York College,Queens,701,621,625
High School for Law Enforcement and Public Safety,Queens,410,431,409
Eagle Academy for Young Men III,Queens,,,
August Martin High School,Queens,366,372,364
Frederick Douglass Academy VI High School,Queens,410,418,407
Academy of Medical Technology (College Board),Queens,422,424,415
"Queens High School for Information, Research, and Technology",Queens,372,362,352
Rockaway Park High School for Environmental Sustainability,Queens,357,381,376
Channel View School for Research,Queens,427,430,423
Rockaway Collegiate High School,Queens,399,403,405
Scholars' Academy,Queens,588,560,568
